case_id,mode,document_id,expected_category,predicted_category,route_correct,query,standalone_query,answer,latency_ms,throttle_wait_ms,retrieval_bypassed,retrieved_chunk_count,context_recall,context_precision,gold_evidence_hits,relevant_chunks,fact_accuracy,facts_matched,facts_total,fact_details,repeat
document-001,baseline,a65d57cf-73f1-4275-a9b7-0956d70f326a,DOCUMENT,DOCUMENT,True,What form of payment was used for the itinerary?,What form of payment was used for the itinerary?,Online payment,1982.49190000206,0.0,False,2,1.0,1.0,1,2,1.0,1,1,"[{""name"": ""payment method"", ""matched"": true, ""patterns"": [""online payment"", ""paid online""]}]",1
document-001,router_only,a65d57cf-73f1-4275-a9b7-0956d70f326a,DOCUMENT,DOCUMENT,True,What form of payment was used for the itinerary?,What form of payment was used for the itinerary?,Online payment,1676.9232000006014,0.0,False,2,1.0,1.0,1,2,1.0,1,1,"[{""name"": ""payment method"", ""matched"": true, ""patterns"": [""online payment"", ""paid online""]}]",1
document-001,full,a65d57cf-73f1-4275-a9b7-0956d70f326a,DOCUMENT,DOCUMENT,True,What form of payment was used for the itinerary?,What form of payment was used for the itinerary?,Online payment,1792.570000005071,311.99999999807915,False,2,1.0,1.0,1,2,1.0,1,1,"[{""name"": ""payment method"", ""matched"": true, ""patterns"": [""online payment"", ""paid online""]}]",1
document-002,baseline,a65d57cf-73f1-4275-a9b7-0956d70f326a,DOCUMENT,DOCUMENT,True,What were the fare and tax amounts?,What were the fare and tax amounts?,"FARE: CNY 4534.00, TAX: CNY 4528.00",2346.873400005279,203.00000000133878,False,2,1.0,1.0,1,2,1.0,2,2,"[{""name"": ""fare amount"", ""matched"": true, ""patterns"": [""4534"", ""CNY 4534""]}, {""name"": ""tax amount"", ""matched"": true, ""patterns"": [""4528"", ""CNY 4528""]}]",1
document-002,router_only,a65d57cf-73f1-4275-a9b7-0956d70f326a,DOCUMENT,DOCUMENT,True,What were the fare and tax amounts?,What were the fare and tax amounts?,FARE: CNY 4534.00 and TAX: CNY 4528.00,2424.2904000057024,0.0,False,2,1.0,1.0,1,2,1.0,2,2,"[{""name"": ""fare amount"", ""matched"": true, ""patterns"": [""4534"", ""CNY 4534""]}, {""name"": ""tax amount"", ""matched"": true, ""patterns"": [""4528"", ""CNY 4528""]}]",1
document-002,full,a65d57cf-73f1-4275-a9b7-0956d70f326a,DOCUMENT,DOCUMENT,True,What were the fare and tax amounts?,What were the fare and tax amounts?,"FARE: CNY 4534.00, TAX: CNY 4528.00",2299.360400000296,0.0,False,2,1.0,1.0,1,2,1.0,2,2,"[{""name"": ""fare amount"", ""matched"": true, ""patterns"": [""4534"", ""CNY 4534""]}, {""name"": ""tax amount"", ""matched"": true, ""patterns"": [""4528"", ""CNY 4528""]}]",1
document-003,baseline,a65d57cf-73f1-4275-a9b7-0956d70f326a,DOCUMENT,DOCUMENT,True,Are the flight times and dates shown in local time?,Are the flight times and dates shown in local time?,"Yes, all flight times and dates are in local time.",2266.8809999959194,0.0,False,2,1.0,1.0,1,2,1.0,1,1,"[{""name"": ""local-time notice"", ""matched"": true, ""patterns"": [""local time"", ""shown in local time"", ""are in local time""]}]",1
document-003,router_only,a65d57cf-73f1-4275-a9b7-0956d70f326a,DOCUMENT,DOCUMENT,True,Are the flight times and dates shown in local time?,Are the flight times and dates shown in local time?,"Yes, all flight times and dates are in local time.",2101.6808999993373,0.0,False,2,1.0,1.0,1,2,1.0,1,1,"[{""name"": ""local-time notice"", ""matched"": true, ""patterns"": [""local time"", ""shown in local time"", ""are in local time""]}]",1
document-003,full,a65d57cf-73f1-4275-a9b7-0956d70f326a,DOCUMENT,DOCUMENT,True,Are the flight times and dates shown in local time?,Are the flight times and dates shown in local time?,"Yes, all flight times and dates are in local time.",2058.738400002767,0.0,False,2,1.0,1.0,1,2,1.0,1,1,"[{""name"": ""local-time notice"", ""matched"": true, ""patterns"": [""local time"", ""shown in local time"", ""are in local time""]}]",1
document-004,baseline,a65d57cf-73f1-4275-a9b7-0956d70f326a,DOCUMENT,DOCUMENT,True,Which flight travels from Beijing to Dubai on May 15?,Which flight travels from Beijing to Dubai on May 15?,EK307,2459.4194999954198,0.0,False,2,1.0,1.0,1,2,1.0,1,1,"[{""name"": ""flight number"", ""matched"": true, ""patterns"": [""EK307"", ""EK 307""]}]",1
