case_id,mode,document_id,expected_category,predicted_category,route_correct,query,standalone_query,answer,latency_ms,throttle_wait_ms,retrieval_bypassed,retrieved_chunk_count,context_recall,context_precision,gold_evidence_hits,relevant_chunks,fact_accuracy,facts_matched,facts_total,fact_details,repeat
document-001,baseline,a65d57cf-73f1-4275-a9b7-0956d70f326a,DOCUMENT,DOCUMENT,True,What form of payment was used for the itinerary?,What form of payment was used for the itinerary?,Online payment,1886.1262999998871,0.0,False,2,1.0,1.0,1,2,1.0,1,1,"[{""name"": ""payment method"", ""matched"": true, ""patterns"": [""online payment"", ""paid online""]}]",1
document-001,router_only,a65d57cf-73f1-4275-a9b7-0956d70f326a,DOCUMENT,DOCUMENT,True,What form of payment was used for the itinerary?,What form of payment was used for the itinerary?,Online payment,1980.2155000070343,108.99999999674037,False,2,1.0,1.0,1,2,1.0,1,1,"[{""name"": ""payment method"", ""matched"": true, ""patterns"": [""online payment"", ""paid online""]}]",1
document-001,full,a65d57cf-73f1-4275-a9b7-0956d70f326a,DOCUMENT,DOCUMENT,True,What form of payment was used for the itinerary?,What form of payment was used for the itinerary?,Online payment,1897.7752999999211,0.0,False,2,1.0,1.0,1,2,1.0,1,1,"[{""name"": ""payment method"", ""matched"": true, ""patterns"": [""online payment"", ""paid online""]}]",1
document-002,baseline,a65d57cf-73f1-4275-a9b7-0956d70f326a,DOCUMENT,DOCUMENT,True,What were the fare and tax amounts?,What were the fare and tax amounts?,FARE: CNY 4534.00 and TAX: CNY 4528.00,2455.1290000017616,93.99999999732245,False,2,1.0,1.0,1,2,1.0,2,2,"[{""name"": ""fare amount"", ""matched"": true, ""patterns"": [""4534"", ""CNY 4534""]}, {""name"": ""tax amount"", ""matched"": true, ""patterns"": [""4528"", ""CNY 4528""]}]",1
document-002,router_only,a65d57cf-73f1-4275-a9b7-0956d70f326a,DOCUMENT,DOCUMENT,True,What were the fare and tax amounts?,What were the fare and tax amounts?,FARE: CNY 4534.00 and TAX: CNY 4528.00,2516.091299999971,0.0,False,2,1.0,1.0,1,2,1.0,2,2,"[{""name"": ""fare amount"", ""matched"": true, ""patterns"": [""4534"", ""CNY 4534""]}, {""name"": ""tax amount"", ""matched"": true, ""patterns"": [""4528"", ""CNY 4528""]}]",1
document-002,full,a65d57cf-73f1-4275-a9b7-0956d70f326a,DOCUMENT,DOCUMENT,True,What were the fare and tax amounts?,What were the fare and tax amounts?,FARE: CNY 4534.00 and TAX: CNY 4528.00,2430.430399996112,0.0,False,2,1.0,1.0,1,2,1.0,2,2,"[{""name"": ""fare amount"", ""matched"": true, ""patterns"": [""4534"", ""CNY 4534""]}, {""name"": ""tax amount"", ""matched"": true, ""patterns"": [""4528"", ""CNY 4528""]}]",1
document-003,baseline,a65d57cf-73f1-4275-a9b7-0956d70f326a,DOCUMENT,DOCUMENT,True,Are the flight times and dates shown in local time?,Are the flight times and dates shown in local time?,"Yes, all flight times and dates are in local time.",2040.9632000009879,0.0,False,2,1.0,1.0,1,2,1.0,1,1,"[{""name"": ""local-time notice"", ""matched"": true, ""patterns"": [""local time"", ""shown in local time"", ""are in local time""]}]",1
document-003,router_only,a65d57cf-73f1-4275-a9b7-0956d70f326a,DOCUMENT,DOCUMENT,True,Are the flight times and dates shown in local time?,Are the flight times and dates shown in local time?,"Yes, all flight times and dates are in local time.",2003.9615999994567,0.0,False,2,1.0,1.0,1,2,1.0,1,1,"[{""name"": ""local-time notice"", ""matched"": true, ""patterns"": [""local time"", ""shown in local time"", ""are in local time""]}]",1
document-003,full,a65d57cf-73f1-4275-a9b7-0956d70f326a,DOCUMENT,DOCUMENT,True,Are the flight times and dates shown in local time?,Are the flight times and dates shown in local time?,"Yes, all flight times and dates are in local time.",2149.067099999229,0.0,False,2,1.0,1.0,1,2,1.0,1,1,"[{""name"": ""local-time notice"", ""matched"": true, ""patterns"": [""local time"", ""shown in local time"", ""are in local time""]}]",1
document-004,baseline,a65d57cf-73f1-4275-a9b7-0956d70f326a,DOCUMENT,DOCUMENT,True,Which flight travels from Beijing to Dubai on May 15?,Which flight travels from Beijing to Dubai on May 15?,EK307,2737.547899996571,0.0,False,2,1.0,1.0,1,2,1.0,1,1,"[{""name"": ""flight number"", ""matched"": true, ""patterns"": [""EK307"", ""EK 307""]}]",1
document-004,router_only,a65d57cf-73f1-4275-a9b7-0956d70f326a,DOCUMENT,DOCUMENT,True,Which flight travels from Beijing to Dubai on May 15?,Which flight travels from Beijing to Dubai on May 15?,EK307,1936.765699996613,0.0,False,2,1.0,1.0,1,2,1.0,1,1,"[{""name"": ""flight number"", ""matched"": true, ""patterns"": [""EK307"", ""EK 307""]}]",1
document-004,full,a65d57cf-73f1-4275-a9b7-0956d70f326a,DOCUMENT,DOCUMENT,True,Which flight travels from Beijing to Dubai on May 15?,Which flight travels from Beijing to Dubai on May 15?,EK307,2522.387200006051,46.999999998661224,False,2,1.0,1.0,1,2,1.0,1,1,"[{""name"": ""flight number"", ""matched"": true, ""patterns"": [""EK307"", ""EK 307""]}]",1
followup-001,baseline,a65d57cf-73f1-4275-a9b7-0956d70f326a,FOLLOW_UP_DOCUMENT,DOCUMENT,False,And how much was the tax?,And how much was the tax?,CNY 4528.00,1764.118499995675,0.0,False,2,1.0,1.0,1,2,1.0,1,1,"[{""name"": ""tax amount"", ""matched"": true, ""patterns"": [""4528"", ""CNY 4528""]}]",1
followup-001,router_only,a65d57cf-73f1-4275-a9b7-0956d70f326a,FOLLOW_UP_DOCUMENT,FOLLOW_UP_DOCUMENT,True,And how much was the tax?,And how much was the tax?,CNY 4528.00,3698.2205000022077,218.99999999732245,False,2,1.0,1.0,1,2,1.0,1,1,"[{""name"": ""tax amount"", ""matched"": true, ""patterns"": [""4528"", ""CNY 4528""]}]",1
followup-001,full,a65d57cf-73f1-4275-a9b7-0956d70f326a,FOLLOW_UP_DOCUMENT,FOLLOW_UP_DOCUMENT,True,And how much was the tax?,How much was the tax for the fare?,CNY 4528.00,7059.232699997665,344.0000000045984,False,2,1.0,1.0,1,2,1.0,1,1,"[{""name"": ""tax amount"", ""matched"": true, ""patterns"": [""4528"", ""CNY 4528""]}]",1
followup-002,baseline,a65d57cf-73f1-4275-a9b7-0956d70f326a,FOLLOW_UP_DOCUMENT,DOCUMENT,False,What time does it depart?,What time does it depart?,Information not found in the document.,3980.3902999992715,453.0000000013388,False,2,1.0,1.0,1,2,0.0,0,1,"[{""name"": ""departure time"", ""matched"": false, ""patterns"": [""00:40"", ""12:40 AM"", ""00 40""]}]",1
followup-002,router_only,a65d57cf-73f1-4275-a9b7-0956d70f326a,FOLLOW_UP_DOCUMENT,FOLLOW_UP_DOCUMENT,True,What time does it depart?,What time does it depart?,Information not found in the document.,6445.580999999947,109.00000000401633,False,2,1.0,1.0,1,2,0.0,0,1,"[{""name"": ""departure time"", ""matched"": false, ""patterns"": [""00:40"", ""12:40 AM"", ""00 40""]}]",1
followup-002,full,a65d57cf-73f1-4275-a9b7-0956d70f326a,FOLLOW_UP_DOCUMENT,FOLLOW_UP_DOCUMENT,True,What time does it depart?,What time does flight EK307 depart from Beijing to Dubai on May 15?,00:40,6918.3897000039,125.0,False,2,1.0,1.0,1,2,1.0,1,1,"[{""name"": ""departure time"", ""matched"": true, ""patterns"": [""00:40"", ""12:40 AM"", ""00 40""]}]",1
followup-003,baseline,a65d57cf-73f1-4275-a9b7-0956d70f326a,FOLLOW_UP_DOCUMENT,DOCUMENT,False,Which terminal does it arrive at?,Which terminal does it arrive at?,Information not found in the document.,4413.381300000765,0.0,False,2,1.0,1.0,1,2,0.0,0,1,"[{""name"": ""arrival terminal"", ""matched"": false, ""patterns"": [""T4"", ""Terminal 4"", ""terminal four""]}]",1
followup-003,router_only,a65d57cf-73f1-4275-a9b7-0956d70f326a,FOLLOW_UP_DOCUMENT,FOLLOW_UP_DOCUMENT,True,Which terminal does it arrive at?,Which terminal does it arrive at?,"T3 and T4 (depending on the flight: EK307 arrives at T3, EK201 arrives at T4, EK236 arrives at T3, and EK",6950.381999995443,0.0,False,2,1.0,1.0,1,2,1.0,1,1,"[{""name"": ""arrival terminal"", ""matched"": true, ""patterns"": [""T4"", ""Terminal 4"", ""terminal four""]}]",1
followup-003,full,a65d57cf-73f1-4275-a9b7-0956d70f326a,FOLLOW_UP_DOCUMENT,FOLLOW_UP_DOCUMENT,True,Which terminal does it arrive at?,Which terminal does Flight EK201 arrive at?,T4,9432.161099997757,0.0,False,2,1.0,1.0,1,2,1.0,1,1,"[{""name"": ""arrival terminal"", ""matched"": true, ""patterns"": [""T4"", ""Terminal 4"", ""terminal four""]}]",1
followup-004,baseline,a65d57cf-73f1-4275-a9b7-0956d70f326a,FOLLOW_UP_DOCUMENT,DOCUMENT,False,Does it arrive the same day?,Does it arrive the same day?,,4664.281299999857,0.0,False,2,1.0,1.0,1,2,0.0,0,1,"[{""name"": ""next-day arrival"", ""matched"": false, ""patterns"": [""next day"", ""following day"", ""+1"", ""one day later""]}]",1
